Label,AnnRet,AnnVol,Sharpe,Sortino,MaxDD,TotalRet,Primary,Pair,Method,Window
VIS-VPU,0.09746350754024732,0.07197552907710598,0.6594395088002846,2.585392476109853,-0.05849041369892549,0.20939015844929432,VIS,VPU,adaptive,5
VGT-VFH,0.0908585808150684,0.08668413029793806,0.47135018456821687,1.917596651347075,-0.0937707995185606,0.1907173800265587,VGT,VFH,adaptive,10
VAW-VDE,0.08627267300511882,0.07956191614350086,0.45590497015803527,1.8848702358208558,-0.08493307805905448,0.18120667174759508,VAW,VDE,adaptive,10
VGT-VHT,0.09047885413717147,0.1018828935067427,0.3973076612168719,1.6261510637643943,-0.10764383775097419,0.18643478141168712,VGT,VHT,adaptive,10
VGT-VDC,0.08896577690829033,0.11405016454687106,0.34165471889588284,1.352692768396361,-0.12086145091729106,0.17973473300371268,VGT,VDC,adaptive,10
VGT-VNQ,0.08431600972803477,0.10462003038289636,0.3280061151047511,1.454356051826719,-0.12503395563133735,0.17120641343387755,VGT,VNQ,adaptive,10
VAW-VDE,0.0730880426081645,0.08074339905117775,0.28594340688494674,1.5329712458446536,-0.1324477656184735,0.15019500020966037,VAW,VDE,standard,15
VGT-VPU,0.08148032624812589,0.11048772628220797,0.2849214777731859,1.2710549570215322,-0.06849715053807615,0.16310250506124202,VGT,VPU,adaptive,10
VGT-VDE,0.08104362742645689,0.10946671348648859,0.28358965422204524,1.2368187861060218,-0.11852240250290258,0.16231250758618376,VGT,VDE,adaptive,10
VIS-VDC,0.068758544370465,0.07098815087417218,0.2642489505567614,1.783005125783318,-0.053302785114448414,0.14195990243268253,VIS,VDC,adaptive,5
VAW-VDE,0.07052250446343526,0.0822276288056601,0.2495816158330307,1.4485596458256371,-0.13850653907894872,0.1440209921968103,VAW,VDE,standard,10
VAW-VDE,0.06721223938892606,0.07729252343147458,0.22268957752668014,1.47943055122667,-0.07150824601505723,0.1373555520671481,VAW,VDE,adaptive,20
VIS-VPU,0.06174315042197817,0.07488648126494049,0.15681268799948264,1.4051305563371337,-0.06379439086187166,0.12537262854141762,VIS,VPU,standard,5
VAW-VDE,0.061804104781854,0.07910580351232749,0.14921920083922224,1.3013352447918511,-0.06806400549953606,0.12477673887532159,VAW,VDE,adaptive,15
VGT-VAW,0.05525758430927368,0.08801313798599465,0.05973635788455091,1.0643445983494049,-0.14453713086090803,0.10847354742749671,VGT,VAW,adaptive,10
VNQ-VOX,0.05403242525550123,0.06879761361409839,0.058612865238612186,1.2694494543254689,-0.1101457684387186,0.10908351171877095,VNQ,VOX,adaptive,10
VGT-VPU,0.05457471665994493,0.10019730714260275,0.04565708191572624,0.9052468302023385,-0.08886631059903205,0.10444776137250877,VGT,VPU,ewma,20
